Label,Start,End
Session Started,0:00:00,0:00:18
Exposition,0:00:18,0:02:30
Discussion,0:02:30,0:07:53
Exposition,0:07:53,0:08:31
Discussion,0:08:31,0:09:46
Exposition,0:09:46,0:12:15
Exploration,0:12:15,0:12:35
Exposition,0:12:35,0:13:17
Discussion,0:13:17,0:13:40
Exploration,0:13:40,0:17:42
Exposition,0:17:42,0:18:26
Combat,0:18:26,0:44:03
Exposition,0:44:03,0:44:23
Discussion,0:44:23,0:45:03
Exploration,0:45:03,0:45:06
Exposition,0:45:06,0:45:28
Exploration,0:45:28,0:47:21
Exposition,0:47:21,0:48:11
Exploration,0:48:11,0:54:20
Exposition,0:54:20,1:01:01
Exploration,1:01:01,1:01:40
Exposition,1:01:40,1:02:25
Discussion,1:02:25,1:06:14
